000000000000003F   # 63
000000000000000B   # 11
0000000000000016   # 22
0000000000000060   # 96
000000000000003A   # 58
0000000000000024   # 36
000000000000000D   # 13
0000000000000017   # 23
0000000000000001   # 1
0000000000000055   # 85
0000000000000027   # 39
000000000000005C   # 92
0000000000000041   # 65
0000000000000057   # 87
0000000000000018   # 24
0000000000000057   # 87
000000000000000C   # 12
0000000000000005   # 5
000000000000002A   # 42
0000000000000039   # 57
0000000000000043   # 67
0000000000000028   # 40
000000000000000D   # 13
0000000000000017   # 23
000000000000001E   # 30
000000000000001E   # 30
000000000000002F   # 47
0000000000000006   # 6
000000000000005A   # 90
0000000000000038   # 56
